algo_display,n,mean_rel_error,std_rel_error,mean_elapsed,std_elapsed,count,timeouts
Венгерский,25,-5.453847433667391e-08,2.2415738751479728e-07,0.00624575614929198,0.008552364068487951,5,0
Венгерский,50,8.006966867313281e-09,2.0137367001072464e-07,0.012571668624877899,0.007028365497077683,5,0
Венгерский,100,-7.448820833477754e-08,1.7964188410724675e-07,0.06258568763732905,0.015608517432961114,5,0
Венгерский SciPy,25,-5.453847433667391e-08,2.2415738751479728e-07,0.0,0.0,5,0
Венгерский SciPy,50,8.006966867313281e-09,2.0137367001072464e-07,0.0,0.0,5,0
Венгерский SciPy,100,-7.448820833477754e-08,1.7964188410724675e-07,0.0,0.0,5,0
Жадный,25,0.6732984786841412,0.3311791923659469,0.0,0.0,5,0
Жадный,50,0.9166947901771261,0.3979099698296313,0.0,0.0,5,0
Жадный,100,1.3889673871904544,0.31488602695640955,0.0031282424926757798,0.006994962863726432,5,0
Муравьиный алг-м,25,-5.4538474247856075e-08,2.241573873873046e-07,47.679073095321655,0.5832680154429857,5,0
Муравьиный алг-м,50,0.018601270900798727,0.012453536286134095,100.00536766052247,0.004026293550217639,5,0
Муравьиный алг-м,100,0.11784901150143727,0.012849957245264488,100.00890607833863,0.004521740902775219,5,0
